ID,City,Country,Date,Latitude,Longitude,Max Temperature (F),Humidity,Cloudiness,Wind Speed
0,Loa Janan,ID,1633628739,-0.583,117.095,74.01,98,14,2.64
1,Sakakah,SA,1633628739,29.9697,40.2064,85.57,20,0,16.15
2,Usakos,NA,1633628740,-22.0,15.6,73.42,26,0,8.61
3,Rundu,NA,1633628740,-17.9333,19.7667,80.31,35,98,6.17
4,Kjøpsvik,NO,1633628741,68.097,16.3742,43.18,88,91,4.41
5,Airai,TL,1633628741,-8.9266,125.4092,60.33,68,81,2.19
6,Astoria,US,1633628704,46.1879,-123.8313,52.86,95,90,5.01
7,Mashhad,IR,1633628741,36.297,59.6062,53.74,37,20,9.22
8,Puerto Ayora,EC,1633628742,-0.7393,-90.3518,80.56,86,77,8.99
9,Narsaq,GL,1633628742,60.9167,-46.05,48.42,48,8,6.82
10,Itarema,BR,1633628694,-2.9248,-39.9167,85.93,61,77,17.87
11,Sembakung,ID,1633628743,3.8167,117.25,74.59,98,30,0.4
12,Suez,EG,1633628511,29.9737,32.5263,73.72,62,0,13.35
13,Garissa,KE,1633628743,-0.4536,39.6401,82.11,51,24,24.43
14,Saint-Jovite,CA,1633628744,46.1186,-74.5966,68.22,60,11,1.14
15,Carora,VE,1633628744,10.1755,-70.0827,99.57,27,43,13.35
16,Kyren,RU,1633628473,51.6828,102.1408,35.94,99,100,2.75
17,Isiolo,KE,1633628745,0.3546,37.5822,78.78,44,85,8.55
18,Vila Velha,BR,1633628613,-20.3297,-40.2925,85.95,66,0,8.05
19,Newport,GB,1633628470,51.5877,-2.9984,65.86,84,88,3.91
20,Saint-Joseph,RE,1633628745,-21.3667,55.6167,70.16,78,96,6.93
21,Karpathos,GR,1633628746,35.507,27.2132,66.16,72,0,8.05
22,Mbanza-Ngungu,CD,1633628746,-5.25,14.8667,75.25,80,100,8.28
23,Ylivieska,FI,1633628747,64.0833,24.55,51.31,90,47,8.66
24,Cruzeiro do Sul,BR,1633628747,-29.5128,-51.9853,71.53,52,26,7.65
25,Rayong,TH,1633628747,12.8333,101.4333,80.8,99,100,1.19
26,Volksrust,ZA,1633628748,-27.3654,29.8818,58.14,86,76,3.6
27,Naze,JP,1633628748,28.3667,129.4833,76.44,72,81,14.36
28,Bima,ID,1633628749,-8.4667,118.7167,75.65,87,42,5.61
29,Yuxia,CN,1633628749,34.0615,108.6291,57.81,94,91,0.92
30,Marshall,US,1633628749,34.3834,-86.3333,80.33,67,75,1.99
31,Ixtapa,MX,1633628750,20.7,-105.2,87.22,70,45,3.0
32,Usinsk,RU,1633628693,65.9939,57.5281,47.3,72,100,18.41
33,Atar,MR,1633628750,20.5169,-13.0499,103.66,10,98,11.81
34,Aden,YE,1633628750,12.7794,45.0367,87.26,76,52,8.25
35,Puro,PH,1633628751,12.4841,123.3827,80.58,82,100,6.24
36,Wagar,SD,1633628751,16.1525,36.2032,96.53,23,40,6.53
37,Boa Vista,BR,1633628752,2.8197,-60.6733,94.98,41,75,6.91
38,Delhi,IN,1633628496,28.6667,77.2167,82.49,74,2,3.44
39,Lincoln,US,1633628632,40.8,-96.667,75.29,65,20,3.0
40,Tarko-Sale,RU,1633628752,64.9225,77.785,42.64,96,100,15.48
41,La Ronge,CA,1633628742,55.1001,-105.2842,48.42,57,20,10.36
42,Ovar,PT,1633628753,40.8586,-8.6251,75.02,72,1,9.13
43,Ponta do Sol,PT,1633628753,32.6667,-17.1,77.0,73,35,2.13
44,Longyan,CN,1633628753,25.1072,117.0225,71.64,95,77,2.33
45,Monsey,US,1633628699,41.1112,-74.0685,75.79,74,13,1.01
46,Tynda,RU,1633628754,55.1667,124.7167,19.13,98,58,2.1
47,Grand Bank,CA,1633628755,47.0999,-55.765,60.8,58,90,17.56
48,Buraidah,SA,1633628720,26.326,43.975,91.85,16,0,10.4
49,Mormugao,IN,1633628755,15.4,73.8,79.86,89,75,3.44
50,Abalak,RU,1633628755,58.1286,68.5944,39.07,86,51,6.02
51,Bajil,YE,1633628756,15.0584,43.2851,87.98,62,83,2.37
52,Khorramshahr,IR,1633628756,30.4397,48.1664,89.55,33,0,2.3
53,Leeton,AU,1633628756,-34.5667,146.4,42.89,100,12,0.0
54,Leningradskiy,RU,1633628757,69.3833,178.4167,22.41,96,100,3.18
55,Port-Gentil,GA,1633628757,-0.7193,8.7815,78.76,78,40,9.22
56,Léo,BF,1633628757,11.1,-2.1,86.79,44,36,6.29
57,Yanggu,CN,1633628758,36.1106,115.7753,55.27,90,100,6.04
58,Stornoway,GB,1633628758,58.2093,-6.3865,58.96,94,75,18.41
59,San Carlos,VE,1633628759,9.6612,-68.5827,91.13,52,12,2.89
60,College,US,1633628759,64.8569,-147.8028,37.65,95,90,0.0
61,Saryozek,KZ,1633628759,44.3583,77.9753,30.25,69,7,3.91
62,Vallenar,CL,1633628760,-28.5708,-70.7581,77.59,20,0,16.82
63,Grand Gaube,MU,1633628760,-20.0064,57.6608,72.37,77,12,1.99
64,Kalmunai,LK,1633628760,7.4167,81.8167,80.67,78,74,10.87
65,Esperance,AU,1633628761,-33.8667,121.9,51.64,85,59,13.82
66,Māngrol,IN,1633628761,21.1167,70.1167,84.31,79,70,4.34
67,Itacoatiara,BR,1633628762,-3.1431,-58.4442,94.66,40,99,0.54
68,Mugur-Aksy,RU,1633628762,50.35,90.5,9.81,88,91,7.9
69,Grand-Lahou,CI,1633628763,5.1367,-5.0242,78.51,84,91,6.78
70,Redcar,GB,1633628763,54.6166,-1.06,66.54,78,73,5.99
71,Druzhba,UA,1633628764,52.0428,33.9453,39.9,59,52,7.96
72,Forssa,FI,1633628764,60.8146,23.6215,52.48,94,99,8.97
73,Karakol,KG,1633628764,42.4907,78.3936,24.87,86,81,5.97
74,Maceió,BR,1633628765,-9.6658,-35.7353,87.24,58,75,12.66
75,Rong Kwang,TH,1633628765,18.339,100.3174,79.02,93,74,1.01
76,La Raya de Santa María,PA,1633628765,8.1667,-80.8167,87.8,66,83,2.75
77,Kosikha,RU,1633628766,53.3617,84.5822,36.37,98,100,15.66
78,Oruzgan,AF,1633628766,32.8333,66.0,63.45,16,0,4.16
79,Innisfail,AU,1633628766,-17.5333,146.0333,73.72,80,74,1.03
80,Buluang,PH,1633628767,13.3068,123.3425,76.35,91,100,2.93
81,Mbandaka,CD,1633628767,0.0487,18.2603,77.63,74,70,2.19
82,Paraná,AR,1633628768,-31.732,-60.5238,71.46,28,1,8.95
83,San Fernando del Valle de Catamarca,AR,1633628768,-28.4696,-65.7852,75.49,46,0,15.01
84,Qaqortoq,GL,1633628768,60.7167,-46.0333,48.7,47,7,6.06
85,Cherskiy,RU,1633628768,68.75,161.3,-2.2,100,63,4.25
86,Maridi,SS,1633628769,4.9158,29.4742,69.03,95,88,2.53
87,Crown Point,US,1633628739,41.417,-87.3653,71.91,89,90,5.75
88,Bonito,BR,1633628769,-21.1211,-56.4819,79.11,75,100,4.61
89,Periyanayakkanpalaiyam,IN,1633628770,11.15,76.9333,80.19,74,40,9.22
90,Wetaskiwin,CA,1633628770,52.9668,-113.3687,47.79,47,0,7.02
91,Port Blair,IN,1633628770,11.6667,92.75,79.02,89,100,12.84
92,Oranjestad,AW,1633628654,12.524,-70.027,91.35,55,20,20.71
93,Caucaia,BR,1633628771,-3.7361,-38.6531,89.08,66,20,20.71
94,Sapa,PH,1633628771,5.1544,120.3241,80.98,84,28,7.0
95,Nanortalik,GL,1633628772,60.1432,-45.2371,40.55,61,60,2.55
96,Melita,CA,1633628772,49.2681,-100.9967,75.6,29,38,10.07
97,Sergeevka,KZ,1633628772,53.88,67.4158,39.87,76,38,7.65
98,Yuzhno-Kurilsk,RU,1633628773,44.0306,145.8556,51.78,73,100,7.43
99,Chervone,UA,1633628773,49.9564,28.8645,40.82,42,0,7.09
100,Zonguldak,TR,1633628774,41.25,31.8333,48.51,94,33,2.1
101,Pimenta Bueno,BR,1633628710,-11.6725,-61.1936,94.32,39,48,1.45
102,Kočevje,SI,1633628774,45.6433,14.8633,52.79,98,100,19.08
103,Ruidoso,US,1633628774,33.3317,-105.673,72.9,33,1,1.99
104,Semey,KZ,1633628775,50.4111,80.2275,35.82,87,40,11.18
105,Strezhevoy,RU,1633628775,60.7333,77.5889,40.98,94,100,9.06
106,Non Sung,TH,1633628775,15.1801,102.2569,80.98,87,100,4.74
107,Hobart,AU,1633628776,-42.8794,147.3294,50.25,72,75,1.01
108,Harrismith,ZA,1633628776,-28.2728,29.1295,62.91,56,89,10.98
109,Luga,RU,1633628776,58.7372,29.8453,44.42,56,0,8.12
110,Spoleto,IT,1633628776,42.7448,12.7374,58.14,97,100,4.27
111,Joshīmath,IN,1633628777,30.5667,79.5667,62.83,82,35,1.86
112,Olinda,BR,1633628777,-8.0089,-34.8553,83.93,65,20,12.66
113,Kysyl-Syr,RU,1633628777,63.8986,122.7617,29.52,98,100,4.94
114,Cetraro,IT,1633628778,39.5166,15.9416,60.24,81,89,6.17
115,Albany,US,1633628778,42.6001,-73.9662,74.8,73,0,0.87
116,Ligayan,PH,1633628778,4.6533,119.4706,83.82,76,25,10.2
117,Mumford,GH,1633628779,5.2618,-0.759,79.29,84,72,7.18
118,Hauterive,FR,1633628779,46.0901,3.4459,56.98,89,70,4.65
119,Half Moon Bay,US,1633628779,37.4636,-122.4286,65.16,69,90,9.22
120,Liverpool,GB,1633628423,53.4106,-2.9779,66.61,81,75,3.0
121,Ahipara,NZ,1633628504,-35.1667,173.1667,56.43,93,41,9.4
122,Machiques,VE,1633628780,10.0644,-72.545,92.84,55,92,9.22
123,Hīt,IQ,1633628780,33.6416,42.8251,77.49,17,0,9.46
124,Staraya Russa,RU,1633628781,57.9944,31.3608,41.77,65,2,7.25
125,Zhigalovo,RU,1633628781,54.8097,105.1578,28.99,70,18,3.71
126,Burgeo,CA,1633628781,47.6167,-57.6152,57.49,49,96,17.25
127,Sumbe,AO,1633628782,-11.2061,13.8437,75.13,76,53,9.55
128,Kiboga,UG,1633628782,0.9161,31.7742,66.45,87,54,0.54
129,Presidente Franco,PY,1633628782,-25.5333,-54.6167,75.72,100,90,2.3
130,Province of Mantua,IT,1633628783,45.1667,10.7833,63.7,77,100,4.36
131,Merke,KZ,1633628783,42.8728,73.1786,39.13,82,40,5.06
132,Estación Coahuila,MX,1633628783,32.1939,-115.0017,83.97,35,100,3.42
133,Miyako,JP,1633628784,39.6367,141.9525,65.17,94,100,8.63
134,Georgiyevka,KZ,1633628784,43.0369,74.7114,35.64,75,0,6.71
135,Solok,ID,1633628784,-0.7918,100.6593,70.75,90,99,2.57
136,Imeni Stepana Razina,RU,1633628785,54.8932,44.2963,39.78,59,0,2.91
137,Lithgow,AU,1633628785,-33.4833,150.15,48.67,89,65,1.9
138,Kalcheva,UA,1633628785,45.7374,28.8141,48.07,58,74,9.24
139,Balkanabat,TM,1633628786,39.5108,54.3671,56.14,33,25,5.95
140,Marabu,MY,1633628786,4.4148,114.0089,78.94,100,40,3.44
141,Prome,MM,1633628787,18.8167,95.2167,76.59,94,99,2.66
142,Jiwani,PK,1633628787,25.05,61.7417,81.63,76,0,12.19
143,Gigmoto,PH,1633628787,13.7796,124.39,79.56,88,100,5.61
144,Roald,NO,1633628788,62.5833,6.1333,58.12,71,75,5.75
145,Tucumã,BR,1633628788,-0.1833,-50.05,90.54,54,52,11.18
146,Cabo San Lucas,MX,1633628737,22.8909,-109.9124,93.61,55,1,6.91
147,Manaure,CO,1633628788,11.7751,-72.4445,92.28,49,20,20.4
148,Marinette,US,1633628789,45.1,-87.6307,66.65,88,90,10.36
149,Peniche,PT,1633628789,39.3558,-9.3811,82.76,76,1,12.44
150,General Salgado,BR,1633628789,-20.6483,-50.3606,77.77,56,99,13.22
151,Sangar,RU,1633628790,63.9242,127.4739,30.25,97,100,6.17
152,Fort-Shevchenko,KZ,1633628790,44.5086,50.263,51.69,44,12,19.82
153,Parfen'yevo,RU,1633628790,58.484,43.4088,39.0,87,1,5.21
154,Talcahuano,CL,1633628720,-36.7167,-73.1167,56.88,77,75,14.97
155,Ganjām,IN,1633628791,19.3833,85.0667,82.13,80,11,7.47
156,Gizo Government Station,SB,1633628791,-8.103,156.8419,81.48,77,40,6.4
157,San Miguel de Cozumel,MX,1633628791,20.5083,-86.9458,87.12,84,75,3.0
158,Uyuni,BO,1633628792,-20.4597,-66.825,63.14,18,22,14.36
159,Butaritari,KI,1633628792,3.0707,172.7902,82.63,65,50,16.04
160,Dargaville,NZ,1633628793,-35.9333,173.8833,55.83,94,94,9.84
161,Kangaatsiaq,GL,1633628793,68.3065,-53.4641,29.37,61,50,7.61
162,Natitingou,BJ,1633628793,10.3042,1.3796,87.85,67,64,4.41
163,Tumut,AU,1633628794,-35.3,148.2167,38.39,93,22,2.59
164,Otane,NZ,1633628794,-39.8833,176.6333,56.01,99,100,1.77
165,Mitsamiouli,KM,1633628794,-11.3847,43.2844,79.09,78,20,11.5
166,Pionerskiy,RU,1633628795,54.9508,20.2275,46.24,63,46,12.59
167,Mil'kovo,RU,1633628795,54.7167,158.6167,32.23,83,76,6.08
168,Tres Arroyos,AR,1633628795,-38.3739,-60.2798,60.44,37,4,7.18
169,Ketchikan,US,1633628796,55.3422,-131.6461,46.38,93,90,27.63
170,Tshane,BW,1633628796,-24.0196,21.8684,73.85,50,66,12.71
171,Abashiri,JP,1633628797,44.0213,144.2697,53.94,74,100,6.96
172,Tanah Merah,MY,1633628797,5.8,102.15,78.62,85,100,2.86
173,Honningsvåg,NO,1633628797,70.9821,25.9704,38.95,75,75,19.57
174,Anekal,IN,1633628798,12.7,77.7,74.89,88,100,7.45
175,Kulhudhuffushi,MV,1633628798,6.6221,73.07,81.68,81,23,14.5
176,Nuuk,GL,1633628798,64.1835,-51.7216,36.21,60,20,9.22
177,Barraute,CA,1633628799,48.4335,-77.6328,68.27,59,19,5.66
178,Uyemskiy,RU,1633628799,64.4743,40.8524,53.65,54,75,13.42
179,Iskateley,RU,1633628799,67.6803,53.1512,45.54,90,100,20.67
180,Colares,PT,1633628800,38.7992,-9.4469,81.59,42,0,16.11
181,Ambatofinandrahana,MG,1633628800,-20.55,46.8,57.47,76,41,10.83
182,Mayor Pablo Lagerenza,PY,1633628800,-19.9309,-60.7718,84.76,41,100,5.23
183,Arman',RU,1633628801,59.7,150.1667,26.73,61,22,4.92
184,Marzuq,YE,1633628801,14.4,46.4667,81.66,48,89,4.07
185,Minas,UY,1633628726,-34.3759,-55.2377,52.52,47,5,3.89
186,Tuktoyaktuk,CA,1633628801,69.4541,-133.0374,28.4,93,20,8.05
187,Sovetskaya Gavan',RU,1633628802,48.9723,140.2878,43.39,57,95,4.94
188,São João de Pirabas,BR,1633628802,-0.7747,-47.1772,86.54,62,49,10.8
189,Kitob,UZ,1633628803,39.0843,66.8332,52.38,37,36,1.43
190,Lamar,US,1633628506,33.6668,-95.5836,90.36,40,1,10.36
191,Toumodi,CI,1633628803,6.5613,-5.0158,88.3,95,96,4.41
192,Torphins,GB,1633628804,57.1056,-2.624,60.75,97,100,7.23
193,Mana,GF,1633628804,5.6592,-53.7767,86.77,65,82,10.87
194,Vanavara,RU,1633628804,60.34,102.2797,32.59,98,100,8.37
195,Banjar,ID,1633628805,-8.19,114.9675,75.06,86,35,7.25
196,Harper,LR,1633628805,4.375,-7.7169,78.76,84,89,10.11
197,Şabyā,SA,1633628805,17.1495,42.6254,89.22,67,43,2.71
198,Muravlenko,RU,1633628806,63.7898,74.523,42.64,90,100,18.79
